row_id,congestion
848835,46
848836,32
848837,46
848838,27
848839,71
848840,62
848841,46
848842,49
848843,60
848844,65
848845,38
848846,29
848847,39
848848,36
848849,61
848850,29
848851,42
848852,54
848853,58
848854,59
848855,41
848856,38
848857,39
848858,58
848859,57
848860,56
848861,54
848862,71
848863,53
848864,53
848865,64
848866,64
848867,64
848868,42
848869,63
848870,51
848871,64
848872,43
848873,45
848874,68
848875,69
848876,51
848877,74
848878,73
848879,37
848880,20
848881,27
848882,38
848883,31
848884,47
848885,52
848886,63
848887,56
848888,36
848889,22
848890,61
848891,22
848892,54
848893,70
848894,43
848895,61
848896,33
848897,70
848898,22
848899,45
848900,46
848901,34
848902,45
848903,28
848904,70
848905,62
848906,44
848907,49
848908,59
848909,64
848910,37
848911,28
848912,39
848913,36
848914,64
848915,27
848916,42
848917,52
848918,58
848919,58
848920,41
848921,41
848922,39
848923,59
848924,59
848925,57
848926,53
848927,72
848928,54
848929,53
848930,63
848931,65
848932,63
848933,42
848934,65
848935,53
848936,64
848937,44
848938,45
848939,69
848940,70
848941,51
848942,76
848943,73
848944,37
848945,21
848946,28
848947,38
848948,31
848949,47
848950,53
848951,64
848952,56
848953,36
848954,22
848955,61
848956,26
848957,54
848958,71
848959,44
848960,60
848961,34
848962,70
848963,22
848964,44
848965,46
848966,34
848967,46
848968,29
848969,70
848970,62
848971,43
848972,49
848973,59
848974,62
848975,38
848976,29
848977,38
848978,36
848979,64
848980,29
848981,42
848982,53
848983,59
848984,59
848985,40
848986,43
848987,40
848988,61
848989,60
848990,57
848991,53
848992,73
848993,55
848994,53
848995,64
848996,67
848997,63
848998,42
848999,66
849000,54
849001,65
849002,44
849003,46
849004,67
849005,69
849006,52
849007,77
849008,73
849009,36
849010,20
849011,27
849012,39
849013,31
849014,47
849015,53
849016,64
849017,56
849018,36
849019,22
849020,60
849021,25
849022,55
849023,70
849024,46
849025,61
849026,33
849027,70
849028,19
849029,45
849030,42
849031,35
849032,48
849033,28
849034,72
849035,63
849036,46
849037,46
849038,62
849039,61
849040,38
849041,31
849042,37
849043,39
849044,64
849045,33
849046,44
849047,57
849048,59
849049,60
849050,42
849051,39
849052,38
849053,60
849054,62
849055,58
849056,57
849057,72
849058,58
849059,52
849060,69
849061,66
849062,67
849063,40
849064,67
849065,54
849066,63
849067,40
849068,43
849069,67
849070,69
849071,50
849072,75
849073,76
849074,36
849075,25
849076,32
849077,37
849078,33
849079,48
849080,60
849081,65
849082,62
849083,35
849084,23
849085,64
849086,24
849087,55
849088,73
849089,46
849090,61
849091,29
849092,73
849093,18
849094,33
849095,38
849096,35
849097,47
849098,31
849099,74
849100,64
849101,46
849102,47
849103,63
849104,62
849105,39
849106,33
849107,38
849108,36
849109,63
849110,31
849111,43
849112,56
849113,57
849114,62
849115,43
849116,40
849117,38
849118,61
849119,62
