row_id,num_sold
26298,383
26299,593
26300,169
26301,668
26302,1035
26303,295
26304,588
26305,911
26306,260
26307,1025
26308,1588
26309,453
26310,426
26311,659
26312,188
26313,742
26314,1149
26315,328
26316,322
26317,501
26318,142
26319,561
26320,873
26321,248
26322,485
26323,754
26324,214
26325,845
26326,1315
26327,373
26328,357
26329,554
26330,157
26331,622
26332,967
26333,275
26334,280
26335,436
26336,124
26337,488
26338,761
26339,215
26340,434
26341,678
26342,192
26343,758
26344,1183
26345,335
26346,325
26347,508
26348,144
26349,567
26350,886
26351,251
26352,277
26353,434
26354,122
26355,483
26356,757
26357,213
26358,443
26359,695
26360,196
26361,773
26362,1211
26363,342
26364,337
26365,528
26366,149
26367,587
26368,921
26369,260
26370,328
26371,516
26372,145
26373,572
26374,899
26375,253
26376,522
26377,822
26378,231
26379,911
26380,1433
26381,402
26382,389
26383,611
26384,172
26385,678
26386,1066
26387,299
26388,327
26389,517
26390,145
26391,571
26392,902
26393,252
26394,514
26395,812
26396,227
26397,897
26398,1416
26399,396
26400,382
26401,603
26402,169
26403,665
26404,1051
26405,294
26406,254
26407,403
26408,112
26409,443
26410,702
26411,196
26412,386
26413,612
26414,171
26415,673
26416,1067
26417,298
26418,290
26419,460
26420,128
26421,505
26422,801
26423,223
26424,256
26425,408
26426,113
26427,447
26428,712
26429,198
26430,375
26431,597
26432,166
26433,654
26434,1041
26435,289
26436,286
26437,456
26438,127
26439,500
26440,795
26441,221
26442,257
26443,410
26444,114
26445,448
26446,715
26447,198
26448,362
26449,578
26450,160
26451,631
26452,1009
26453,279
26454,275
26455,439
26456,122
26457,479
26458,766
26459,212
26460,259
26461,415
26462,115
26463,451
26464,724
26465,200
26466,347
26467,557
26468,154
26469,605
26470,971
26471,268
26472,283
26473,453
26474,125
26475,493
26476,790
26477,218
26478,267
26479,431
26480,118
26481,466
26482,751
26483,206
26484,365
26485,588
26486,162
26487,637
26488,1025
26489,282
26490,291
26491,469
26492,129
26493,508
26494,817
26495,225
26496,310
26497,502
26498,137
26499,541
26500,875
26501,240
26502,434
26503,702
26504,192
26505,757
26506,1224
26507,335
26508,333
26509,539
26510,148
26511,581
26512,939
26513,257
26514,298
26515,483
26516,132
26517,519
26518,842
26519,230
26520,434
26521,705
26522,192
26523,757
26524,1229
26525,335
26526,316
26527,513
26528,140
26529,551
26530,895
26531,244
26532,228
26533,371
26534,101
26535,398
26536,648
26537,176
26538,346
26539,565
26540,154
26541,604
26542,984
26543,268
26544,250
26545,407
26546,111
26547,436
26548,710
26549,193
26550,221
26551,361
26552,98
26553,385
26554,629
26555,171
26556,346
26557,567
26558,154
26559,604
26560,988
26561,268
26562,239
26563,391
26564,106
26565,417
26566,681
26567,185
26568,220
26569,362
26570,98
26571,384
26572,631
26573,171
26574,346
26575,568
26576,154
26577,603
26578,991
26579,268
26580,239
26581,392
26582,106
26583,416
26584,684
26585,185
26586,220
26587,363
26588,98
26589,384
26590,634
26591,171
26592,346
26593,570
26594,154
26595,603
26596,995
26597,268
26598,239
26599,393
26600,106
26601,416
26602,686
26603,185
26604,232
26605,384
26606,103
26607,404
26608,669
26609,179
26610,364
26611,602
26612,162
26613,634
26614,1050
26615,282
26616,251
26617,415
26618,111
26619,437
26620,724
26621,194
26622,276
26623,458
26624,123
26625,480
26626,799
26627,214
26628,433
26629,719
26630,192
26631,754
26632,1254
26633,335
26634,298
26635,496
26636,133
26637,520
26638,865
26639,231
26640,275
26641,460
26642,123
26643,480
26644,801
26645,214
26646,432
26647,721
26648,192
26649,754
26650,1258
26651,335
26652,298
26653,498
26654,133
26655,520
26656,868
26657,231
26658,220
26659,368
26660,98
26661,383
26662,642
26663,171
26664,345
26665,578
26666,154
26667,601
26668,1008
26669,268
26670,238
26671,399
26672,106
26673,415
26674,695
26675,185
26676,220
26677,369
26678,98
26679,383
26680,644
26681,171
26682,345
26683,580
26684,154
26685,601
26686,1011
26687,268
26688,238
26689,400
26690,106
26691,415
26692,697
26693,185
26694,219
26695,371
26696,98
26697,382
26698,646
26699,171
26700,344
26701,582
26702,154
26703,600
26704,1014
26705,268
26706,238
26707,401
26708,106
26709,414
26710,700
26711,185
26712,219
26713,372
26714,98
26715,382
26716,648
26717,171
26718,344
26719,583
26720,154
26721,600
26722,1017
26723,268
26724,237
26725,402
26726,106
26727,414
26728,702
26729,185
26730,230
26731,392
26732,103
26733,402
26734,684
26735,179
26736,362
26737,616
26738,162
26739,631
26740,1074
26741,282
26742,249
26743,425
26744,111
26745,435
26746,741
26747,194
26748,274
26749,468
26750,123
26751,478
26752,817
26753,214
26754,430
26755,735
26756,192
26757,750
26758,1282
26759,335
26760,297
26761,507
26762,133
26763,517
26764,884
26765,231
26766,274
26767,470
26768,123
26769,477
26770,819
26771,214
26772,430
26773,737
26774,192
26775,749
26776,1286
26777,335
26778,296
26779,509
26780,133
26781,517
26782,887
26783,231
26784,218
26785,376
26786,98
26787,381
26788,656
26789,171
26790,343
26791,591
26792,154
26793,598
26794,1030
26795,268
26796,236
26797,407
26798,106
26799,412
26800,710
26801,185
26802,218
26803,377
26804,98
26805,380
26806,658
26807,171
26808,342
26809,592
26810,154
26811,597
26812,1033
26813,268
26814,236
26815,409
26816,106
26817,412
26818,713
26819,185
26820,218
26821,378
26822,98
